Membership No  Date Joined  Active  
    98086      2015-11-24   no    
    17578      2020-3-19    no    
    66580      2017-5-20    no    
    43799      2019-2-10    no    
    54340      2020-6-17    no    
    59542      2017-7-13    no    
    14036      2015-4-4     no    
    88348      2019-4-22    no    
    24455      2016-5-22    no    
    61328      2017-8-2     no    
    96726      2020-7-7     no    
    68998      2015-7-4     no    
    44039      2016-3-22    no    
    41903      2020-9-3     no    
    47972      2019-12-22   no    
    44492      2018-5-17    no    
    55870      2015-12-19   no    
    15977      2017-9-5     no    
