Membership No  Date Joined  Active  
    14280      2018-6-12    no    
    16155      2015-2-7     no    
    25096      2019-4-7     no    
    56330      2020-9-9     no    
    99387      2018-9-22    no    
    42636      2019-4-10    no    
    38921      2019-6-18    no    
    72492      2019-7-19    no    
    23477      2016-3-8     no    
    57592      2016-5-12    no    
    88679      2016-11-11   no    
    34039      2016-4-14    no    
    99203      2018-9-6     no    
    70973      2016-5-14    no    
